Player,wing_feet,height_feet,wing_height_ratio
Deonte Burton,6.583333333333333333333333,6.0,1.097222222222222222222222
Wesley Iwundu,7.083333333333333333333333,6.458333333333333333333333,1.096774193548387096774193
Draymond Green,7.104166666666666666666666,6.479166666666666666666666,1.096463022508038585209003
Ekpe Udoh,7.375,6.729166666666666666666666,1.095975232198142414860681
Robert Covington,7.145833333333333333333333,6.520833333333333333333333,1.095846645367412140575079
Cole Aldrich,7.395833333333333333333333,6.75,1.095679012345679012345678
Jawun Evans,6.458333333333333333333333,5.895833333333333333333333,1.095406360424028268551236
Jamaal Franklin,6.9375,6.333333333333333333333333,1.095394736842105263157894
Tyreke Evans,6.9375,6.333333333333333333333333,1.095394736842105263157894
Tony Bradley,7.416666666666666666666666,6.770833333333333333333333,1.095384615384615384615384
Dedric Lawson,7.208333333333333333333333,6.583333333333333333333333,1.094936708860759493670886
Rudy Gobert,7.708333333333333333333333,7.041666666666666666666666,1.094674556213017751479289
Malachi Richardson,7.0,6.395833333333333333333333,1.094462540716612377850162
Thomas Robinson,7.270833333333333333333333,6.645833333333333333333333,1.094043887147335423197492
E'Twaun Moore,6.791666666666666666666666,6.208333333333333333333333,1.093959731543624161073825
Kevon Looney,7.291666666666666666666666,6.666666666666666666666666,1.09375
Andrew Nicholson,7.333333333333333333333333,6.708333333333333333333333,1.09316770186335403726708
Taj Gibson,7.333333333333333333333333,6.708333333333333333333333,1.09316770186335403726708
Daniel Orton,7.354166666666666666666666,6.729166666666666666666666,1.09287925696594427244582
Kevin Jones,7.125,6.520833333333333333333333,1.09265175718849840255591
Dennis Schroeder,6.645833333333333333333333,6.083333333333333333333333,1.092465753424657534246575
LaQuinton Ross,7.145833333333333333333333,6.541666666666666666666666,1.092356687898089171974522
Jeremy Lamb,6.916666666666666666666666,6.333333333333333333333333,1.092105263157894736842105
Lamar Patterson,6.916666666666666666666666,6.333333333333333333333333,1.092105263157894736842105
Kay Felder,6.208333333333333333333333,5.6875,1.091575091575091575091575
Kyle Anderson,7.229166666666666666666666,6.625,1.091194968553459119496855
Jarvis Varnado,7.291666666666666666666666,6.6875,1.090342679127725856697819
Derrick Favors,7.333333333333333333333333,6.729166666666666666666666,1.089783281733746130030959
